,Suburb,Latitude,Longitude,SSC_Code
325,"Killarney Heights, Sydney",-33.7724836,151.221976,SSC12130
326,"Kings Langley, Sydney",-33.7505506,150.9372174,SSC12149
327,"Kings Park, Sydney",-33.7433333,150.9086111,SSC12150
328,"Kingsford, Sydney",-33.9215922,151.2272307,SSC12156
329,"Kingsgrove, Sydney",-33.9371844,151.0996523,SSC12158
330,"Kingswood, Sydney",-33.7613772,150.7213283,SSC12163
331,"Kirkham, Sydney",-34.0351341,150.711839,SSC12171
332,"Kirrawee, Sydney",-34.0344781,151.0726428,SSC12172
333,"Kirribilli, Sydney",-33.8476659,151.2158138,SSC12173
334,"Kogarah Bay, Sydney",-33.9816792,151.1239702,SSC12182
335,"Kogarah, Sydney",-33.968226,151.1354509,SSC12181
336,"Kurmond, Sydney",-33.5483333,150.701111,SSC12215
337,"Kurnell, Sydney",-34.0222379,151.1880555,SSC12216
338,"Kurraba Point, Sydney",-33.8415873,151.223028,SSC12217
339,"Kurrajong Hills, Sydney",-33.5420672,150.6483995,SSC12220
340,"Kurrajong, Sydney",-33.5532572,150.6677058,SSC12218
341,"Kyeemagh, Sydney",-33.9492195,151.1607373,SSC12226
342,"Kyle Bay, Sydney",-33.9897577,151.0992166,SSC12227
343,"La Perouse, Sydney",-33.9887589,151.2318011,SSC12230
344,"Lakemba, Sydney",-33.9196311,151.0749236,SSC12257
345,"Lalor Park, Sydney",-33.7649937,150.9288833,SSC12261
346,"Lane Cove North, Sydney",-33.8059265,151.1617117,SSC12267
347,"Lane Cove West, Sydney",-33.8119396,151.150078,SSC12268
348,"Lane Cove, Sydney",-33.8160672,151.1678195,SSC12266
349,"Lansdowne, Sydney",-33.8948687,150.9740821,SSC12272
350,"Lansvale, Sydney",-33.9003985,150.9510782,SSC12275
351,"Laughtondale, Sydney",-33.4224715,151.0267219,SSC12281
352,"Lavender Bay, Sydney",-33.8432002,151.2074155,SSC12285
353,"Leets Vale, Sydney",-33.4316667,150.9511111,SSC12294
354,"Leichhardt, Sydney",-33.8819328,151.155867,SSC12297
355,"Len Waters Estate, Sydney",-33.9146,150.8532,SSC12301
356,"Leonay, Sydney",-33.7650058,150.6511051,SSC12304
357,"Leppington, Sydney",-33.9543857,150.80806378606871,SSC12305
358,"Lethbridge Park, Sydney",-33.7386041,150.8014499,SSC12307
359,"Leumeah, Sydney",-34.0543113,150.8371354,SSC12308
360,"Lewisham, Sydney",-33.8953868,151.1466449,SSC12313
361,"Liberty Grove, Sydney",-33.8413889,151.0838889,SSC12315
362,"Lidcombe, Sydney",-33.8630649,151.0456771,SSC12316
363,"Lilli Pilli, Sydney",-34.0680729,151.1159938,SSC12322
364,"Lilyfield, Sydney",-33.8709879,151.1616185,SSC12325
365,"Lindfield, Sydney",-33.7802907,151.1595848,SSC12339
366,"Linley Point, Sydney",-33.8272222,151.15,SSC12341
367,"Little Bay, Sydney",-33.9834309,151.2470329,SSC12349
368,"Liverpool, Sydney",-33.9198252,150.92566,SSC12361
369,"Llandilo, Sydney",-33.715,150.7511111,SSC12363
370,"Loftus, Sydney",-34.0434357,151.0504559,SSC12371
371,"Londonderry, Sydney",-33.6483333,150.7344444,SSC12375
372,"Long Point, Sydney",-34.0156584,150.8983181,SSC12381
373,"Longueville, Sydney",-33.8291667,151.1686111,SSC12385
374,"Lovett Bay, Sydney",-33.6325997,151.2763618,SSC12397
375,"Lower Portland, Sydney",-33.8354519,151.2083011,SSC12412
376,"Lucas Heights, Sydney",-34.0400221,150.9986588,SSC12417
377,"Luddenham, Sydney",-33.8779831,150.6901151,SSC12419
378,"Lugarno, Sydney",-33.9823958,151.0450193,SSC12421
379,"Lurnea, Sydney",-33.9358333,150.8972222,SSC12422
380,"Macquarie Fields, Sydney",-33.9904477,150.8849303,SSC12433
381,"Macquarie Links, Sydney",-33.9816667,150.8733333,SSC12435
382,"Macquarie Park, Sydney",-33.7814961,151.1256747,SSC12437
383,"Malabar, Sydney",-33.9629779,151.2480171,SSC12453
384,"Manly Vale, Sydney",-33.7830838,151.2659938,SSC12476
385,"Manly, Sydney",-33.8038504,151.2908235,SSC12475
386,"Maraylya, Sydney",-33.5913984,150.9221281,SSC12484
387,"Marayong, Sydney",-33.7491667,150.8919444,SSC12485
388,"Maroota, Sydney",-33.4577956,150.9829191,SSC12500
389,"Maroubra, Sydney",-33.9453441,151.2456824,SSC12501
390,"Marrickville, Sydney",-33.9103854,151.1556908,SSC12504
391,"Marsden Park, Sydney",-33.6956552,150.8147975,SSC12505
392,"Marsfield, Sydney",-33.7777956,151.1032015,SSC12506
393,"Mascot, Sydney",-33.9289562,151.1951782,SSC12519
